,PASSENGERS,Passenger Miles,Origin,Destination,Starting Point,Ending Point,geometry
174,677006,988400784,"Denver, CO","Washington, DC",POINT (-104.990251 39.7392358),POINT (-104.990251 39.7392358),POINT (-104.990251 39.7392358)
175,676070,713253850,"Dallas/Fort Worth, TX","Las Vegas, NV",POINT (-97.0403352 32.8998091),POINT (-97.0403352 32.8998091),POINT (-97.0403352 32.8998091)
176,675163,110051569,"Kona, HI","Honolulu, HI",POINT (-155.9969052 19.6399924),POINT (-155.9969052 19.6399924),POINT (-155.9969052 19.6399924)
177,674789,403129396,"Charlotte, NC","Chicago, IL",POINT (-80.8431267 35.2270869),POINT (-80.8431267 35.2270869),POINT (-80.8431267 35.2270869)
178,673691,584090101,"Seattle, WA","Las Vegas, NV",POINT (-122.3320708 47.6062095),POINT (-122.3320708 47.6062095),POINT (-122.3320708 47.6062095)
179,670707,979357476,"Washington, DC","Denver, CO",POINT (-77.03687069999999 38.9071923),POINT (-77.03687069999999 38.9071923),POINT (-77.03687069999999 38.9071923)
180,670346,109266398,"Honolulu, HI","Kona, HI",POINT (-157.8583333 21.3069444),POINT (-157.8583333 21.3069444),POINT (-157.8583333 21.3069444)
181,667731,506535558,"Orlando, FL","Washington, DC",POINT (-81.3792365 28.5383355),POINT (-81.3792365 28.5383355),POINT (-81.3792365 28.5383355)
182,666834,86021622,"Seattle, WA","Portland, OR",POINT (-122.3320708 47.6062095),POINT (-122.3320708 47.6062095),POINT (-122.3320708 47.6062095)
183,665947,67926594,"Lihue, HI","Honolulu, HI",POINT (-159.3711111 21.9811111),POINT (-159.3711111 21.9811111),POINT (-159.3711111 21.9811111)
184,665680,702292400,"Las Vegas, NV","Dallas/Fort Worth, TX",POINT (-115.1398296 36.1699412),POINT (-115.1398296 36.1699412),POINT (-115.1398296 36.1699412)
185,664390,67767780,"Honolulu, HI","Lihue, HI",POINT (-157.8583333 21.3069444),POINT (-157.8583333 21.3069444),POINT (-157.8583333 21.3069444)
186,664112,85670460,"Portland, OR","Seattle, WA",POINT (-122.6764816 45.5230622),POINT (-122.6764816 45.5230622),POINT (-122.6764816 45.5230622)
187,656608,199644452,"San Diego, CA","Phoenix, AZ",POINT (-117.1610838 32.715738),POINT (-117.1610838 32.715738),POINT (-117.1610838 32.715738)
188,653091,1582045847,"San Francisco, CA","Washington, DC",POINT (-122.4194155 37.7749295),POINT (-122.4194155 37.7749295),POINT (-122.4194155 37.7749295)
189,652696,1581102831,"Washington, DC","San Francisco, CA",POINT (-77.03687069999999 38.9071923),POINT (-77.03687069999999 38.9071923),POINT (-77.03687069999999 38.9071923)
190,652620,955435680,"Dallas/Fort Worth, TX","San Francisco, CA",POINT (-97.0403352 32.8998091),POINT (-97.0403352 32.8998091),POINT (-97.0403352 32.8998091)
191,652172,198264348,"Phoenix, AZ","San Diego, CA",POINT (-112.0740373 33.4483771),POINT (-112.0740373 33.4483771),POINT (-112.0740373 33.4483771)
192,651460,355045700,"West Palm Beach/Palm Beach, FL","Atlanta, GA",POINT (-80.0533746 26.7153424),POINT (-80.0533746 26.7153424),POINT (-80.0533746 26.7153424)
193,648203,353270635,"Atlanta, GA","West Palm Beach/Palm Beach, FL",POINT (-84.3879824 33.7489954),POINT (-84.3879824 33.7489954),POINT (-84.3879824 33.7489954)
194,646966,774417702,"Miami, FL","Chicago, IL",POINT (-80.1917902 25.7616798),POINT (-80.1917902 25.7616798),POINT (-80.1917902 25.7616798)
195,644508,326765517,"Salt Lake City, UT","Phoenix, AZ",POINT (-111.8910474 40.7607793),POINT (-111.8910474 40.7607793),POINT (-111.8910474 40.7607793)
196,639948,163431152,"Chicago, IL","St. Louis, MO",POINT (-87.6297982 41.8781136),POINT (-87.6297982 41.8781136),POINT (-87.6297982 41.8781136)
197,639350,936008400,"San Francisco, CA","Dallas/Fort Worth, TX",POINT (-122.4194155 37.7749295),POINT (-122.4194155 37.7749295),POINT (-122.4194155 37.7749295)
198,637809,1019237072,"San Juan, PR","New York, NY",POINT (-66.10573549999999 18.4655394),POINT (-66.10573549999999 18.4655394),POINT (-66.10573549999999 18.4655394)
199,637643,152001882,"Houston, TX","Dallas, TX",POINT (-95.3698028 29.7604267),POINT (-95.3698028 29.7604267),POINT (-95.3698028 29.7604267)
200,636605,414429855,"San Francisco, CA","Phoenix, AZ",POINT (-122.4194155 37.7749295),POINT (-122.4194155 37.7749295),POINT (-122.4194155 37.7749295)
201,636184,414155784,"Phoenix, AZ","San Francisco, CA",POINT (-112.0740373 33.4483771),POINT (-112.0740373 33.4483771),POINT (-112.0740373 33.4483771)
202,634017,151140627,"Dallas, TX","Houston, TX",POINT (-96.79698789999999 32.7766642),POINT (-96.79698789999999 32.7766642),POINT (-96.79698789999999 32.7766642)
203,633957,321416766,"Phoenix, AZ","Salt Lake City, UT",POINT (-112.0740373 33.4483771),POINT (-112.0740373 33.4483771),POINT (-112.0740373 33.4483771)
204,630976,755277657,"Chicago, IL","Miami, FL",POINT (-87.6297982 41.8781136),POINT (-87.6297982 41.8781136),POINT (-87.6297982 41.8781136)
205,630739,773418854,"Houston, TX","Las Vegas, NV",POINT (-95.3698028 29.7604267),POINT (-95.3698028 29.7604267),POINT (-95.3698028 29.7604267)
206,630454,176527120,"Philadelphia, PA","Boston, MA",POINT (-75.1652215 39.9525839),POINT (-75.1652215 39.9525839),POINT (-75.1652215 39.9525839)
207,628623,253935901,"Chicago, IL","Kansas City, MO",POINT (-87.6297982 41.8781136),POINT (-87.6297982 41.8781136),POINT (-87.6297982 41.8781136)
208,626201,369458590,"Salt Lake City, UT","Los Angeles, CA",POINT (-111.8910474 40.7607793),POINT (-111.8910474 40.7607793),POINT (-111.8910474 40.7607793)
209,626116,175312480,"Boston, MA","Philadelphia, PA",POINT (-71.0588801 42.3600825),POINT (-71.0588801 42.3600825),POINT (-71.0588801 42.3600825)
210,624456,1688529024,"San Francisco, CA","Boston, MA",POINT (-122.4194155 37.7749295),POINT (-122.4194155 37.7749295),POINT (-122.4194155 37.7749295)
211,623240,764207964,"Las Vegas, NV","Houston, TX",POINT (-115.1398296 36.1699412),POINT (-115.1398296 36.1699412),POINT (-115.1398296 36.1699412)
212,622719,995123552,"New York, NY","San Juan, PR",POINT (-74.0059413 40.7127837),POINT (-74.0059413 40.7127837),POINT (-74.0059413 40.7127837)
213,622380,194420347,"Cleveland, OH","Chicago, IL",POINT (-81.6943605 41.49932),POINT (-81.6943605 41.49932),POINT (-81.6943605 41.49932)
214,622306,530521124,"Orlando, FL","Houston, TX",POINT (-81.3792365 28.5383355),POINT (-81.3792365 28.5383355),POINT (-81.3792365 28.5383355)
215,622236,158862286,"St. Louis, MO","Chicago, IL",POINT (-90.19940419999999 38.6270025),POINT (-90.19940419999999 38.6270025),POINT (-90.19940419999999 38.6270025)
216,619970,1069209900,"Chicago, IL","San Diego, CA",POINT (-87.6297982 41.8781136),POINT (-87.6297982 41.8781136),POINT (-87.6297982 41.8781136)
217,618616,626262676,"Phoenix, AZ","Houston, TX",POINT (-112.0740373 33.4483771),POINT (-112.0740373 33.4483771),POINT (-112.0740373 33.4483771)
218,617752,625363444,"Houston, TX","Phoenix, AZ",POINT (-95.3698028 29.7604267),POINT (-95.3698028 29.7604267),POINT (-95.3698028 29.7604267)
219,617639,1065139052,"San Diego, CA","Chicago, IL",POINT (-117.1610838 32.715738),POINT (-117.1610838 32.715738),POINT (-117.1610838 32.715738)
220,617579,1669933616,"Boston, MA","San Francisco, CA",POINT (-71.0588801 42.3600825),POINT (-71.0588801 42.3600825),POINT (-71.0588801 42.3600825)
221,617335,364227650,"Los Angeles, CA","Salt Lake City, UT",POINT (-118.2436849 34.0522342),POINT (-118.2436849 34.0522342),POINT (-118.2436849 34.0522342)
222,617182,691861022,"Miami, FL","Dallas/Fort Worth, TX",POINT (-80.1917902 25.7616798),POINT (-80.1917902 25.7616798),POINT (-80.1917902 25.7616798)
223,616213,576775368,"Charlotte, NC","Dallas/Fort Worth, TX",POINT (-80.8431267 35.2270869),POINT (-80.8431267 35.2270869),POINT (-80.8431267 35.2270869)
224,612964,687132644,"Dallas/Fort Worth, TX","Miami, FL",POINT (-97.0403352 32.8998091),POINT (-97.0403352 32.8998091),POINT (-97.0403352 32.8998091)
225,610207,1593250477,"Los Angeles, CA","Boston, MA",POINT (-118.2436849 34.0522342),POINT (-118.2436849 34.0522342),POINT (-118.2436849 34.0522342)
226,606479,850179675,"Newark, NJ","Houston, TX",POINT (-74.1723667 40.735657),POINT (-74.1723667 40.735657),POINT (-74.1723667 40.735657)
227,606013,567228168,"Dallas/Fort Worth, TX","Charlotte, NC",POINT (-97.0403352 32.8998091),POINT (-97.0403352 32.8998091),POINT (-97.0403352 32.8998091)
228,604686,515532949,"Houston, TX","Orlando, FL",POINT (-95.3698028 29.7604267),POINT (-95.3698028 29.7604267),POINT (-95.3698028 29.7604267)
229,604250,979612524,"Denver, CO","New York, NY",POINT (-104.990251 39.7392358),POINT (-104.990251 39.7392358),POINT (-104.990251 39.7392358)
230,603496,243786507,"Kansas City, MO","Chicago, IL",POINT (-94.5785667 39.0997265),POINT (-94.5785667 39.0997265),POINT (-94.5785667 39.0997265)
231,602463,188213655,"Chicago, IL","Cleveland, OH",POINT (-87.6297982 41.8781136),POINT (-87.6297982 41.8781136),POINT (-87.6297982 41.8781136)
232,602409,114457710,"Austin, TX","Dallas/Fort Worth, TX",POINT (-97.74306079999999 30.267153),POINT (-97.74306079999999 30.267153),POINT (-97.74306079999999 30.267153)
233,598567,949925829,"Atlanta, GA","Phoenix, AZ",POINT (-84.3879824 33.7489954),POINT (-84.3879824 33.7489954),POINT (-84.3879824 33.7489954)
234,597569,307748035,"Atlanta, GA","Fort Myers, FL",POINT (-84.3879824 33.7489954),POINT (-84.3879824 33.7489954),POINT (-84.3879824 33.7489954)
235,596980,307444700,"Fort Myers, FL","Atlanta, GA",POINT (-81.87230839999999 26.640628),POINT (-81.87230839999999 26.640628),POINT (-81.87230839999999 26.640628)
236,594267,3244078942,"Tokyo, Japan","Los Angeles, CA",POINT (139.6917064 35.6894875),POINT (139.6917064 35.6894875),POINT (139.6917064 35.6894875)
237,593825,112826750,"Dallas/Fort Worth, TX","Austin, TX",POINT (-97.0403352 32.8998091),POINT (-97.0403352 32.8998091),POINT (-97.0403352 32.8998091)
238,593537,3240295627,"Los Angeles, CA","Tokyo, Japan",POINT (-118.2436849 34.0522342),POINT (-118.2436849 34.0522342),POINT (-118.2436849 34.0522342)
239,590673,828064112,"Houston, TX","Newark, NJ",POINT (-95.3698028 29.7604267),POINT (-95.3698028 29.7604267),POINT (-95.3698028 29.7604267)
240,590455,1541678005,"Boston, MA","Los Angeles, CA",POINT (-71.0588801 42.3600825),POINT (-71.0588801 42.3600825),POINT (-71.0588801 42.3600825)
241,589377,608383134,"West Palm Beach/Palm Beach, FL","New York, NY",POINT (-80.0533746 26.7153424),POINT (-80.0533746 26.7153424),POINT (-80.0533746 26.7153424)
242,589011,502426383,"Denver, CO","San Diego, CA",POINT (-104.990251 39.7392358),POINT (-104.990251 39.7392358),POINT (-104.990251 39.7392358)
243,588564,592217238,"Tampa, FL","Chicago, IL",POINT (-82.45717759999999 27.950575),POINT (-82.45717759999999 27.950575),POINT (-82.45717759999999 27.950575)
244,588132,933365484,"Phoenix, AZ","Atlanta, GA",POINT (-112.0740373 33.4483771),POINT (-112.0740373 33.4483771),POINT (-112.0740373 33.4483771)
245,587448,952371918,"New York, NY","Denver, CO",POINT (-74.0059413 40.7127837),POINT (-74.0059413 40.7127837),POINT (-74.0059413 40.7127837)
246,587203,578394955,"Dallas/Fort Worth, TX","Orlando, FL",POINT (-97.0403352 32.8998091),POINT (-97.0403352 32.8998091),POINT (-97.0403352 32.8998091)
247,586531,900325085,"Minneapolis, MN","Los Angeles, CA",POINT (-93.2650108 44.977753),POINT (-93.2650108 44.977753),POINT (-93.2650108 44.977753)
248,586275,605218183,"New York, NY","West Palm Beach/Palm Beach, FL",POINT (-74.0059413 40.7127837),POINT (-74.0059413 40.7127837),POINT (-74.0059413 40.7127837)
249,585438,898647330,"Los Angeles, CA","Minneapolis, MN",POINT (-118.2436849 34.0522342),POINT (-118.2436849 34.0522342),POINT (-118.2436849 34.0522342)
250,585265,1251881835,"Atlanta, GA","San Francisco, CA",POINT (-84.3879824 33.7489954),POINT (-84.3879824 33.7489954),POINT (-84.3879824 33.7489954)
251,584930,576156050,"Orlando, FL","Dallas/Fort Worth, TX",POINT (-81.3792365 28.5383355),POINT (-81.3792365 28.5383355),POINT (-81.3792365 28.5383355)
252,583995,1249165305,"San Francisco, CA","Atlanta, GA",POINT (-122.4194155 37.7749295),POINT (-122.4194155 37.7749295),POINT (-122.4194155 37.7749295)
253,583754,190950920,"Charlotte, NC","Washington, DC",POINT (-80.8431267 35.2270869),POINT (-80.8431267 35.2270869),POINT (-80.8431267 35.2270869)
254,583577,587324849,"Chicago, IL","Tampa, FL",POINT (-87.6297982 41.8781136),POINT (-87.6297982 41.8781136),POINT (-87.6297982 41.8781136)
255,581749,965703340,"Seattle, WA","Dallas/Fort Worth, TX",POINT (-122.3320708 47.6062095),POINT (-122.3320708 47.6062095),POINT (-122.3320708 47.6062095)
256,578222,945434802,"Houston, TX","San Francisco, CA",POINT (-95.3698028 29.7604267),POINT (-95.3698028 29.7604267),POINT (-95.3698028 29.7604267)
257,577841,492898373,"San Diego, CA","Denver, CO",POINT (-117.1610838 32.715738),POINT (-117.1610838 32.715738),POINT (-117.1610838 32.715738)
258,577619,356404971,"Chicago, IL","Baltimore, MD",POINT (-87.6297982 41.8781136),POINT (-87.6297982 41.8781136),POINT (-87.6297982 41.8781136)
259,575102,954669320,"Dallas/Fort Worth, TX","Seattle, WA",POINT (-97.0403352 32.8998091),POINT (-97.0403352 32.8998091),POINT (-97.0403352 32.8998091)
260,573655,353966700,"Baltimore, MD","Chicago, IL",POINT (-76.6121893 39.2903848),POINT (-76.6121893 39.2903848),POINT (-76.6121893 39.2903848)
261,572855,427349830,"Newark, NJ","Atlanta, GA",POINT (-74.1723667 40.735657),POINT (-74.1723667 40.735657),POINT (-74.1723667 40.735657)
262,570167,425344582,"Atlanta, GA","Newark, NJ",POINT (-84.3879824 33.7489954),POINT (-84.3879824 33.7489954),POINT (-84.3879824 33.7489954)
263,569703,685604118,"Washington, DC","Houston, TX",POINT (-77.03687069999999 38.9071923),POINT (-77.03687069999999 38.9071923),POINT (-77.03687069999999 38.9071923)
264,569377,523501185,"Miami, FL","Washington, DC",POINT (-80.1917902 25.7616798),POINT (-80.1917902 25.7616798),POINT (-80.1917902 25.7616798)
265,568158,684003271,"Houston, TX","Washington, DC",POINT (-95.3698028 29.7604267),POINT (-95.3698028 29.7604267),POINT (-95.3698028 29.7604267)
266,567880,174907040,"San Jose, CA","Los Angeles, CA",POINT (-121.8863286 37.3382082),POINT (-121.8863286 37.3382082),POINT (-121.8863286 37.3382082)
267,567665,185781899,"Washington, DC","Charlotte, NC",POINT (-77.03687069999999 38.9071923),POINT (-77.03687069999999 38.9071923),POINT (-77.03687069999999 38.9071923)
268,567581,928017041,"San Francisco, CA","Houston, TX",POINT (-122.4194155 37.7749295),POINT (-122.4194155 37.7749295),POINT (-122.4194155 37.7749295)
269,566537,1273535696,"Las Vegas, NV","New York, NY",POINT (-115.1398296 36.1699412),POINT (-115.1398296 36.1699412),POINT (-115.1398296 36.1699412)
270,565356,174129648,"Los Angeles, CA","San Jose, CA",POINT (-118.2436849 34.0522342),POINT (-118.2436849 34.0522342),POINT (-118.2436849 34.0522342)
271,564865,1269772414,"New York, NY","Las Vegas, NV",POINT (-74.0059413 40.7127837),POINT (-74.0059413 40.7127837),POINT (-74.0059413 40.7127837)
272,561914,138792758,"Dallas/Fort Worth, TX","San Antonio, TX",POINT (-97.0403352 32.8998091),POINT (-97.0403352 32.8998091),POINT (-97.0403352 32.8998091)
273,560828,2281253696,"Miami, FL","Sao Paulo, Brazil",POINT (-80.1917902 25.7616798),POINT (-80.1917902 25.7616798),POINT (-80.1917902 25.7616798)
274,559701,514608199,"Washington, DC","Miami, FL",POINT (-77.03687069999999 38.9071923),POINT (-77.03687069999999 38.9071923),POINT (-77.03687069999999 38.9071923)
275,557183,137624201,"San Antonio, TX","Dallas/Fort Worth, TX",POINT (-98.49362819999999 29.4241219),POINT (-98.49362819999999 29.4241219),POINT (-98.49362819999999 29.4241219)
276,556159,279744671,"Detroit, MI","New York, NY",POINT (-83.0457538 42.331427),POINT (-83.0457538 42.331427),POINT (-83.0457538 42.331427)
277,555449,2259375896,"Sao Paulo, Brazil","Miami, FL",POINT (-46.63330939999999 -23.5505199),POINT (-46.63330939999999 -23.5505199),POINT (-46.63330939999999 -23.5505199)
278,548187,1283853954,"Los Angeles, CA","Miami, FL",POINT (-118.2436849 34.0522342),POINT (-118.2436849 34.0522342),POINT (-118.2436849 34.0522342)
279,546653,274962782,"New York, NY","Detroit, MI",POINT (-74.0059413 40.7127837),POINT (-74.0059413 40.7127837),POINT (-74.0059413 40.7127837)
280,546196,764128204,"Minneapolis, MN","Seattle, WA",POINT (-93.2650108 44.977753),POINT (-93.2650108 44.977753),POINT (-93.2650108 44.977753)
281,541656,637668983,"Fort Lauderdale, FL","Chicago, IL",POINT (-80.13731740000001 26.1224386),POINT (-80.13731740000001 26.1224386),POINT (-80.13731740000001 26.1224386)
282,540849,393738072,"Charlotte, NC","Boston, MA",POINT (-80.8431267 35.2270869),POINT (-80.8431267 35.2270869),POINT (-80.8431267 35.2270869)
283,540063,233307188,"Indianapolis, IN","Atlanta, GA",POINT (-86.158068 39.768403),POINT (-86.158068 39.768403),POINT (-86.158068 39.768403)
284,539355,566322750,"Seattle, WA","San Diego, CA",POINT (-122.3320708 47.6062095),POINT (-122.3320708 47.6062095),POINT (-122.3320708 47.6062095)
285,538826,116386416,"Honolulu, HI","Hilo, HI",POINT (-157.8583333 21.3069444),POINT (-157.8583333 21.3069444),POINT (-157.8583333 21.3069444)
286,538690,634124230,"Chicago, IL","Fort Lauderdale, FL",POINT (-87.6297982 41.8781136),POINT (-87.6297982 41.8781136),POINT (-87.6297982 41.8781136)
287,537401,284285129,"Newark, NJ","Charlotte, NC",POINT (-74.1723667 40.735657),POINT (-74.1723667 40.735657),POINT (-74.1723667 40.735657)
288,535526,539385950,"Tampa, FL","New York, NY",POINT (-82.45717759999999 27.950575),POINT (-82.45717759999999 27.950575),POINT (-82.45717759999999 27.950575)
289,535080,748576809,"Seattle, WA","Minneapolis, MN",POINT (-122.3320708 47.6062095),POINT (-122.3320708 47.6062095),POINT (-122.3320708 47.6062095)
290,534585,494491125,"Baltimore, MD","Fort Lauderdale, FL",POINT (-76.6121893 39.2903848),POINT (-76.6121893 39.2903848),POINT (-76.6121893 39.2903848)
291,533955,560653766,"San Diego, CA","Seattle, WA",POINT (-117.1610838 32.715738),POINT (-117.1610838 32.715738),POINT (-117.1610838 32.715738)
292,533346,282140034,"Charlotte, NC","Newark, NJ",POINT (-80.8431267 35.2270869),POINT (-80.8431267 35.2270869),POINT (-80.8431267 35.2270869)
293,533153,230322096,"Atlanta, GA","Indianapolis, IN",POINT (-84.3879824 33.7489954),POINT (-84.3879824 33.7489954),POINT (-84.3879824 33.7489954)
294,533097,493114725,"Fort Lauderdale, FL","Baltimore, MD",POINT (-80.13731740000001 26.1224386),POINT (-80.13731740000001 26.1224386),POINT (-80.13731740000001 26.1224386)
295,532630,119309070,"Seattle, WA","Spokane, WA",POINT (-122.3320708 47.6062095),POINT (-122.3320708 47.6062095),POINT (-122.3320708 47.6062095)
296,530889,534709715,"New York, NY","Tampa, FL",POINT (-74.0059413 40.7127837),POINT (-74.0059413 40.7127837),POINT (-74.0059413 40.7127837)
297,530611,1242690962,"Miami, FL","Los Angeles, CA",POINT (-80.1917902 25.7616798),POINT (-80.1917902 25.7616798),POINT (-80.1917902 25.7616798)
298,529732,178519684,"Los Angeles, CA","Oakland, CA",POINT (-118.2436849 34.0522342),POINT (-118.2436849 34.0522342),POINT (-118.2436849 34.0522342)
299,529460,441569640,"Portland, OR","Los Angeles, CA",POINT (-122.6764816 45.5230622),POINT (-122.6764816 45.5230622),POINT (-122.6764816 45.5230622)
300,529166,751173392,"Houston, TX","New York, NY",POINT (-95.3698028 29.7604267),POINT (-95.3698028 29.7604267),POINT (-95.3698028 29.7604267)
301,528796,118450304,"Spokane, WA","Seattle, WA",POINT (-117.4260466 47.6587802),POINT (-117.4260466 47.6587802),POINT (-117.4260466 47.6587802)
302,526897,616996387,"Dallas/Fort Worth, TX","San Diego, CA",POINT (-97.0403352 32.8998091),POINT (-97.0403352 32.8998091),POINT (-97.0403352 32.8998091)
303,525815,438529710,"Los Angeles, CA","Portland, OR",POINT (-118.2436849 34.0522342),POINT (-118.2436849 34.0522342),POINT (-118.2436849 34.0522342)
304,525250,177009250,"Oakland, CA","Los Angeles, CA",POINT (-122.2711137 37.8043637),POINT (-122.2711137 37.8043637),POINT (-122.2711137 37.8043637)
305,523756,288065800,"San Francisco, CA","Portland, OR",POINT (-122.4194155 37.7749295),POINT (-122.4194155 37.7749295),POINT (-122.4194155 37.7749295)
306,522933,287613150,"Portland, OR","San Francisco, CA",POINT (-122.6764816 45.5230622),POINT (-122.6764816 45.5230622),POINT (-122.6764816 45.5230622)
307,521936,194682128,"Sacramento, CA","Los Angeles, CA",POINT (-121.4943996 38.5815719),POINT (-121.4943996 38.5815719),POINT (-121.4943996 38.5815719)
308,521156,112569696,"Hilo, HI","Honolulu, HI",POINT (-155.0884869 19.7070942),POINT (-155.0884869 19.7070942),POINT (-155.0884869 19.7070942)
309,520720,609763120,"San Diego, CA","Dallas/Fort Worth, TX",POINT (-117.1610838 32.715738),POINT (-117.1610838 32.715738),POINT (-117.1610838 32.715738)
310,518777,377669656,"Boston, MA","Charlotte, NC",POINT (-71.0588801 42.3600825),POINT (-71.0588801 42.3600825),POINT (-71.0588801 42.3600825)
311,518774,242786232,"Charlotte, NC","Orlando, FL",POINT (-80.8431267 35.2270869),POINT (-80.8431267 35.2270869),POINT (-80.8431267 35.2270869)
312,518447,735940998,"New York, NY","Houston, TX",POINT (-74.0059413 40.7127837),POINT (-74.0059413 40.7127837),POINT (-74.0059413 40.7127837)
313,517260,673989780,"Philadelphia, PA","Dallas/Fort Worth, TX",POINT (-75.1652215 39.9525839),POINT (-75.1652215 39.9525839),POINT (-75.1652215 39.9525839)
314,515747,1125359954,"Atlanta, GA","Seattle, WA",POINT (-84.3879824 33.7489954),POINT (-84.3879824 33.7489954),POINT (-84.3879824 33.7489954)
315,515315,669394185,"Las Vegas, NV","Minneapolis, MN",POINT (-115.1398296 36.1699412),POINT (-115.1398296 36.1699412),POINT (-115.1398296 36.1699412)
316,514961,2763795619,"London, United Kingdom","San Francisco, CA",POINT (-0.1277583 51.5073509),POINT (-0.1277583 51.5073509),POINT (-0.1277583 51.5073509)
317,514230,1122049860,"Seattle, WA","Atlanta, GA",POINT (-122.3320708 47.6062095),POINT (-122.3320708 47.6062095),POINT (-122.3320708 47.6062095)
318,514152,240623136,"Orlando, FL","Charlotte, NC",POINT (-81.3792365 28.5383355),POINT (-81.3792365 28.5383355),POINT (-81.3792365 28.5383355)
319,513800,191647400,"Los Angeles, CA","Sacramento, CA",POINT (-118.2436849 34.0522342),POINT (-118.2436849 34.0522342),POINT (-118.2436849 34.0522342)
320,513665,2272967592,"Miami, FL","London, United Kingdom",POINT (-80.1917902 25.7616798),POINT (-80.1917902 25.7616798),POINT (-80.1917902 25.7616798)
321,513037,668487211,"Dallas/Fort Worth, TX","Philadelphia, PA",POINT (-97.0403352 32.8998091),POINT (-97.0403352 32.8998091),POINT (-97.0403352 32.8998091)
322,512945,508328495,"Denver, CO","Portland, OR",POINT (-104.990251 39.7392358),POINT (-104.990251 39.7392358),POINT (-104.990251 39.7392358)
323,512937,173372706,"Phoenix, AZ","Santa Ana, CA",POINT (-112.0740373 33.4483771),POINT (-112.0740373 33.4483771),POINT (-112.0740373 33.4483771)
324,512157,2024556603,"London, United Kingdom","Chicago, IL",POINT (-0.1277583 51.5073509),POINT (-0.1277583 51.5073509),POINT (-0.1277583 51.5073509)
325,511302,2021176806,"Chicago, IL","London, United Kingdom",POINT (-87.6297982 41.8781136),POINT (-87.6297982 41.8781136),POINT (-87.6297982 41.8781136)
326,508651,433370652,"Dallas/Fort Worth, TX","Minneapolis, MN",POINT (-97.0403352 32.8998091),POINT (-97.0403352 32.8998091),POINT (-97.0403352 32.8998091)
327,508385,660392115,"Minneapolis, MN","Las Vegas, NV",POINT (-93.2650108 44.977753),POINT (-93.2650108 44.977753),POINT (-93.2650108 44.977753)
328,508340,171818920,"Santa Ana, CA","Phoenix, AZ",POINT (-117.8678338 33.7455731),POINT (-117.8678338 33.7455731),POINT (-117.8678338 33.7455731)
329,507370,899567010,"Charlotte, NC","Phoenix, AZ",POINT (-80.8431267 35.2270869),POINT (-80.8431267 35.2270869),POINT (-80.8431267 35.2270869)
330,506843,3038523785,"Los Angeles, CA","Seoul, South Korea",POINT (-118.2436849 34.0522342),POINT (-118.2436849 34.0522342),POINT (-118.2436849 34.0522342)
331,506334,2717494578,"San Francisco, CA","London, United Kingdom",POINT (-122.4194155 37.7749295),POINT (-122.4194155 37.7749295),POINT (-122.4194155 37.7749295)
332,506137,431228724,"Minneapolis, MN","Dallas/Fort Worth, TX",POINT (-93.2650108 44.977753),POINT (-93.2650108 44.977753),POINT (-93.2650108 44.977753)
333,504569,185681392,"Las Vegas, NV","Salt Lake City, UT",POINT (-115.1398296 36.1699412),POINT (-115.1398296 36.1699412),POINT (-115.1398296 36.1699412)
334,502665,799237350,"Atlanta, GA","Salt Lake City, UT",POINT (-84.3879824 33.7489954),POINT (-84.3879824 33.7489954),POINT (-84.3879824 33.7489954)
335,502450,514455105,"New York, NY","Minneapolis, MN",POINT (-74.0059413 40.7127837),POINT (-74.0059413 40.7127837),POINT (-74.0059413 40.7127837)
336,501245,796979550,"Salt Lake City, UT","Atlanta, GA",POINT (-111.8910474 40.7607793),POINT (-111.8910474 40.7607793),POINT (-111.8910474 40.7607793)
337,501023,219074576,"Toronto, Canada","Chicago, IL",POINT (-79.3831843 43.653226),POINT (-79.3831843 43.653226),POINT (-79.3831843 43.653226)
338,500830,219005045,"Chicago, IL","Toronto, Canada",POINT (-87.6297982 41.8781136),POINT (-87.6297982 41.8781136),POINT (-87.6297982 41.8781136)
339,500403,184148304,"Salt Lake City, UT","Las Vegas, NV",POINT (-111.8910474 40.7607793),POINT (-111.8910474 40.7607793),POINT (-111.8910474 40.7607793)
340,499939,240470659,"Richmond, VA","Atlanta, GA",POINT (-77.43604809999999 37.5407246),POINT (-77.43604809999999 37.5407246),POINT (-77.43604809999999 37.5407246)
341,498858,223987242,"Charlotte, NC","Philadelphia, PA",POINT (-80.8431267 35.2270869),POINT (-80.8431267 35.2270869),POINT (-80.8431267 35.2270869)
342,498828,128697624,"Las Vegas, NV","San Diego, CA",POINT (-115.1398296 36.1699412),POINT (-115.1398296 36.1699412),POINT (-115.1398296 36.1699412)
343,498404,128588232,"San Diego, CA","Las Vegas, NV",POINT (-117.1610838 32.715738),POINT (-117.1610838 32.715738),POINT (-117.1610838 32.715738)
344,498351,344858892,"Kansas City, MO","Atlanta, GA",POINT (-94.5785667 39.0997265),POINT (-94.5785667 39.0997265),POINT (-94.5785667 39.0997265)
345,497734,476331438,"Detroit, MI","Orlando, FL",POINT (-83.0457538 42.331427),POINT (-83.0457538 42.331427),POINT (-83.0457538 42.331427)
346,497012,492538892,"Portland, OR","Denver, CO",POINT (-122.6764816 45.5230622),POINT (-122.6764816 45.5230622),POINT (-122.6764816 45.5230622)
